stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1240,1240,Lliri Blau - Mestre Ventura Pascual,,4374154.874,727288.712,,,0,
1242,1242,Mediterrània - Dr. Lluch,,4372072.386,729809.988,,,0,
1243,1243,Mediterrània - Reina,,4372096.062,729766.708,,,0,
1245,1245,Pont de l'Exposició,,4372674.534,726704.148,,,0,
125,125,Blasco Ibáñez - Actor Enrique Rambal,,4372633.13,728595.314,,,0,
1254,1254,Cid - Aiora,,4371874.202,724326.766,,,0,
126,126,Blasco Ibáñez - Hondures,,4372729.72,728295.527,,,0,
1263,1263,Comte de Salvatierra - Colón,,4372359.833,726313.039,,,0,
1265,1265,Conselleria d'Educació,,4373705.755,724305.117,,,0,
1266,1266,Antic Hospital La Fe,,4373749.796,724341.692,,,0,
1268,1268,Hospital General,,4371995.239,723096.144,,,0,
127,127,Blasco Ibáñez - Actriu Encarna Máñez,,4372628.75,728273.857,,,0,
1272,1272,Monestir de Poblet - Centre Comercial,,4373841.439,723943.338,,,0,
1274,1274,Mercat de Castilla,,4371702.76,723120.293,,,0,
1277,1277,Primat Reig - Ministre Luis Mayans,,4374404.325,726110.175,,,0,
1278,1278,Àngel Guimerà - Ferran el Catòlic,,4372246.123,724993.008,,,0,
128,128,Blasco Ibáñez - Músic Ginés,,4372532.823,728556.954,,,0,
1280,1280,Pintor Jacomart - Alcanyís,,4375085.863,725297.969,,,0,
1282,1282,Facultat de Ciències Socials,,4373342.723,728294.079,,,0,
1283,1283,Campus Tarongers,,4373329.135,728329.656,,,0,
1289,1289,Vicent Puchol - Arbres,,4367573.955,726897.766,,,0,
129,129,Blasco Ibáñez - Enginyer Rafael Janini,,4372450.785,728792.02,,,0,
1290,1290,Centre de Salut de València-Castellar,,4367617.017,726891.64,,,0,
1295,1295,Mestre Rodrigo - Marqués de Sant Joan,,4373004.543,723863.761,,,0,
1296,1296,Marqués de Sant Joan - Campanar,,4373136.278,724044.833,,,0,
1298,1298,Espinosa - Ferran el Catòlic,,4372436.551,724992.019,,,0,
13,13,Dr. Lluch - Vicent Guillot,,4372730.099,729892.993,,,0,
1305,1305,Na Jordana,,4373438.892,725256.905,,,0,
1306,1306,Pont de les Drassanes,,4370680.264,729730.079,,,0,
1307,1307,Tres Creus - Llombai,,4371527.193,723221.705,,,0,
1310,1310,Manuel Carboneres - Sant Francesc de Paula,,4369696.202,729706.936,,,0,
